start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-16 0:00,2018-09-16 0:05,사교,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,예,보통,낮음,낮음,보통
2018-09-16 0:05,2018-09-16 0:10,식사,집,수원시 영통구 망포동,실내,혼자,기타|견과류,적음,간식,예,긍정,낮음,낮음,보통
2018-09-16 0:10,2018-09-16 1:30,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-16 1:30,2018-09-16 1:35,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-16 1:35,2018-09-16 2:00,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,부정,낮음,낮음,보통
2018-09-16 2:00,2018-09-16 2:20,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|라면,많음,야식,예,긍정,낮음,낮음,보통
2018-09-16 2:20,2018-09-16 3:00,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,낮음,보통
2018-09-16 3:00,2018-09-16 11:10,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-16 11:10,2018-09-16 11:40,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,부정,매우 높음,보통,보통
2018-09-16 11:40,2018-09-16 12:05,식사,집,수원시 영통구 망포동,실내,혼자,한식|오삼불고기,적음,점심,예,부정,매우 높음,보통,보통
2018-09-16 12:05,2018-09-16 12:35,청소,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-16 12:35,2018-09-16 13:05,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 13:05,2018-09-16 13:30,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-16 13:30,2018-09-16 15:30,야외활동|사회인야구단 참여,기타|사회인 야구장,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,아니오,매우 긍정,높음,높음,보통
2018-09-16 15:30,2018-09-16 15:50,사교,기타|사회인 야구장,수원시 권선구 고색동,실외,혼자,/,/,/,아니오,긍정,높음,높음,낮음
2018-09-16 15:50,2018-09-16 16:30,야외활동|사회인야구단 참여,기타|사회인 야구장,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,아니오,긍정,높음,높음,낮음
2018-09-16 16:30,2018-09-16 16:35,이동,기타|사회인 야구장,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,예,보통,높음,높음,보통
2018-09-16 16:35,2018-09-16 16:50,기타|세면,기타|실내체육관,수원시 권선구 고색동,실내,친밀한 관계|사회인야구동료,/,/,/,예,보통,높음,높음,보통
2018-09-16 16:50,2018-09-16 17:15,이동,야외|자동차,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,예,보통,높음,높음,보통
2018-09-16 17:15,2018-09-16 18:10,식사,식당,수원시 팔달구 인계동,실내,친밀한 관계|사회인야구동료,한식|찜닭,매우 많음,저녁,예,보통,높음,보통,보통
2018-09-16 18:10,2018-09-16 18:20,이동,야외|자동차,수원시 팔달구 인계동,실외,친밀한 관계|사회인야구동료,/,/,/,아니오,매우 긍정,높음,보통,보통
2018-09-16 18:20,2018-09-16 19:00,사교,기타|오락실,수원시 팔달구 인계동,실내,친밀한 관계|사회인야구동료,/,/,/,예,긍정,높음,보통,보통
2018-09-16 19:00,2018-09-16 19:40,식사,식당,수원시 팔달구 인계동,실내,친밀한 관계|사회인야구동료,기타|치킨,매우 많음,야식,예,매우 긍정,높음,보통,보통
2018-09-16 19:40,2018-09-16 20:05,이동,야외|자동차,수원시 팔달구 인계동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 20:05,2018-09-16 20:25,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 20:25,2018-09-16 21:35,수동적 여가|독서,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 21:35,2018-09-16 21:40,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-16 21:40,2018-09-16 22:10,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|과일,많음,간식,예,매우 긍정,낮음,보통,보통
2018-09-16 22:10,2018-09-16 22:50,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-16 22:50,2018-09-16 22:55,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-16 22:55,2018-09-16 23:59,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
