start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-12 0:00,2018-09-12 0:25,사교,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 0:25,2018-09-12 0:30,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-12 0:30,2018-09-12 0:45,식사,집,수원시 영통구 망포동,실내,혼자,기타|밀크쉐이크,적음,간식,예,보통,낮음,보통,보통
2018-09-12 0:45,2018-09-12 1:55,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,아니오,매우 긍정,낮음,보통,보통
2018-09-12 1:55,2018-09-12 2:00,이동,야외,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 2:00,2018-09-12 2:15,기타|구매,상점|편의점,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-12 2:15,2018-09-12 2:20,이동,야외,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-12 2:20,2018-09-12 2:40,식사,집,수원시 영통구 망포동,실내,혼자,기타|컵라면,매우 많음,야식,예,보통,낮음,보통,보통
2018-09-12 2:40,2018-09-12 3:00,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 3:00,2018-09-12 11:20,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 11:20,2018-09-12 11:25,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-09-12 11:25,2018-09-12 11:45,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,부정,매우 높음,낮음,높음
2018-09-12 11:45,2018-09-12 12:05,식사,집,수원시 영통구 망포동,실내,혼자,한식|백반,적음,아침,예,부정,매우 높음,낮음,높음
2018-09-12 12:05,2018-09-12 12:15,청소,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,높음
2018-09-12 12:15,2018-09-12 12:20,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-12 12:20,2018-09-12 12:30,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-12 12:30,2018-09-12 13:40,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-12 13:40,2018-09-12 13:55,이동,야외|자동차,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,예,보통,높음,높음,보통
2018-09-12 13:55,2018-09-12 14:45,식사,식당,수원시 영통구 영통동,실내,친밀한 관계|철환,일식|스시,매우 많음,점심,예,긍정,높음,높음,보통
2018-09-12 14:45,2018-09-12 14:50,이동,야외,수원시 영통구 영통동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,높음,높음
2018-09-12 14:50,2018-09-12 15:10,식사,카페,수원시 영통구 영통동,실내,친밀한 관계|철환,기타|카페,적음,간식,예,긍정,높음,높음,보통
2018-09-12 15:10,2018-09-12 15:25,이동,야외|자동차,수원시 영통구 영통동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-12 15:25,2018-09-12 15:30,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-12 15:30,2018-09-12 17:15,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-12 17:15,2018-09-12 17:20,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통
2018-09-12 17:20,2018-09-12 18:05,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,예,부정,낮음,보통,보통
2018-09-12 18:05,2018-09-12 18:15,이동,야외|자동차,수원시 영통구 태장동,실외,혼자,/,/,/,예,부정,낮음,보통,보통
2018-09-12 18:15,2018-09-12 18:55,식사,식당,수원시 영통구 태장동,실내,친밀한 관계|수영,양식|티본스테이크,매우 많음,저녁,예,매우 긍정,낮음,보통,보통
2018-09-12 18:55,2018-09-12 19:10,이동,야외,수원시 영통구 태장동,실외,친밀한 관계|수영,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 19:10,2018-09-12 21:20,수동적 여가|영화 관람,사무실,수원시 영통구 태장동,실내,친밀한 관계|수영,/,/,/,예,긍정,낮음,보통,보통
2018-09-12 21:20,2018-09-12 21:40,이동,야외|자동차,수원시 영통구 태장동,실외,친밀한 관계|수영,/,/,/,예,보통,낮음,보통,보통
2018-09-12 21:40,2018-09-12 22:30,식사,식당,수원시 영통구 태장동,실내,친밀한 관계|수영,기타|족발,많음,야식,예,긍정,낮음,보통,보통
2018-09-12 22:30,2018-09-12 22:40,이동,야외|자동차,수원시 영통구 태장동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 22:40,2018-09-12 23:00,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 23:00,2018-09-12 23:05,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-12 23:05,2018-09-12 23:59,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
