start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-07-20 0:00,2018-07-20 0:40,사교|전화,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,보통,보통,보통
2018-07-20 0:40,2018-07-20 1:00,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,보통,보통,보통
2018-07-20 1:00,2018-07-20 1:10,능동적 여가|운동 정보 검색,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,보통,보통,보통
2018-07-20 1:10,2018-07-20 2:10,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,보통,보통,보통
2018-07-20 2:10,2018-07-20 2:30,기타|샤워,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,높음,보통,보통
2018-07-20 2:30,2018-07-20 3:20,사교|SNS,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,높음,보통,보통
2018-07-20 3:20,2018-07-20 3:40,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,높음,보통,보통
2018-07-20 3:40,2018-07-20 4:40,능동적 여가|산책,야외,부천시 소사본동,실외,혼자,/,/,/,예,매우 긍정,높음,보통,보통
2018-07-20 4:40,2018-07-20 5:00,기타|명상,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,높음,보통,보통
2018-07-20 5:00,2018-07-20 8:10,수면,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,높음,보통,보통
2018-07-20 8:10,2018-07-20 8:40,기타|등교 준비,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,낮음,보통,보통
2018-07-20 8:40,2018-07-20 8:50,이동,야외,부천시 소사본동,실외,"친밀한 관계|현오, 민교, 석현",/,/,/,예,매우 긍정,낮음,높음,높음
2018-07-20 8:50,2018-07-20 9:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|현오, 민교, 석현",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-20 9:00,2018-07-20 9:50,기타|방학식,학교,부천시 소사본동,실내,"친밀한 관계|민경, 승희, 우철",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-20 9:50,2018-07-20 10:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|승우, 단규, 동재",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-20 10:00,2018-07-20 10:50,기타|영화,학교,부천시 소사본동,실내,친밀한 관계|지은,/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-20 10:50,2018-07-20 11:00,사교|수다,학교,부천시 소사본동,실외,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-20 11:00,2018-07-20 11:50,기타|영화,학교,부천시 소사본동,실내,친밀한 관계|지은,/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-20 11:50,2018-07-20 12:10,이동,대중교통,부천시 소사본동,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,낮음,매우 높음,매우 높음
2018-07-20 12:10,2018-07-20 12:50,식사,식당,부천시 심곡동,실내,친밀한 관계|지은,일식|돈까스,매우 적음,점심,예,매우 긍정,낮음,보통,보통
2018-07-20 12:50,2018-07-20 15:10,이동,대중교통,부천시 심곡동,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,낮음,매우 높음,매우 높음
2018-07-20 15:10,2018-07-20 15:40,야외활동|놀이기구,야외|에버랜드,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,낮음,매우 높음,매우 높음
2018-07-20 15:40,2018-07-20 15:50,기타|휴식,야외|에버랜드,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,매우 높음,매우 높음
2018-07-20 15:50,2018-07-20 17:00,야외활동|놀이기구,야외|에버랜드,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,높음,높음
2018-07-20 17:00,2018-07-20 17:30,식사|휴식,카페|에버랜드,용인시 처인구 포곡읍,실내,친밀한 관계|지은,기타|음료,매우 적음,간식,예,긍정,높음,보통,보통
2018-07-20 17:30,2018-07-20 18:30,야외활동|산책,야외|에버랜드,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,높음,높음
2018-07-20 18:30,2018-07-20 19:10,식사,식당|에버랜드,용인시 처인구 포곡읍,실내,친밀한 관계|지은,기타|햄버거,적음,저녁,예,긍정,보통,보통,보통
2018-07-20 19:10,2018-07-20 20:40,야외활동|놀이기구,야외|에버랜드,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,긍정,보통,높음,높음
2018-07-20 20:40,2018-07-20 21:00,기타|휴식,야외|에버랜드,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,긍정,높음,높음,높음
2018-07-20 21:00,2018-07-20 22:30,야외활동|산책,야외|에버랜드,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,높음,높음
2018-07-20 22:30,2018-07-20 23:59,이동,대중교통,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,긍정,보통,보통,보통
