start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-04 0:00,2018-09-04 0:30,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-04 0:30,2018-09-04 0:35,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-04 0:35,2018-09-04 0:45,식사,집,수원시 영통구 망포동,실내,혼자,기타|과자,많음,간식,예,매우 긍정,낮음,보통,보통
2018-09-04 0:45,2018-09-04 2:05,수동적 여가|영화 관람,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,아니오,매우 긍정,낮음,보통,보통
2018-09-04 2:05,2018-09-04 2:15,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-04 2:15,2018-09-04 2:25,이동,야외,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-04 2:25,2018-09-04 2:30,기타|구매,상점|편의점,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-04 2:30,2018-09-04 2:35,이동,야외,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-04 2:35,2018-09-04 2:55,식사,집,수원시 영통구 망포동,실내,혼자,기타|컵라면,매우 많음,야식,예,긍정,낮음,보통,보통
2018-09-04 2:55,2018-09-04 3:35,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-04 3:35,2018-09-04 3:45,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-04 3:45,2018-09-04 10:55,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-04 10:55,2018-09-04 11:10,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-04 11:10,2018-09-04 11:20,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,보통,보통
2018-09-04 11:20,2018-09-04 11:30,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-04 11:30,2018-09-04 12:55,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,예,보통,매우 높음,보통,보통
2018-09-04 12:55,2018-09-04 13:05,이동,야외|자동차,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,예,보통,높음,높음,보통
2018-09-04 13:05,2018-09-04 13:55,식사,식당,수원시 영통구 영통동,실내,친밀한 관계|철환,한식|냉면,적음,점심,예,보통,높음,높음,보통
2018-09-04 13:55,2018-09-04 14:00,이동,야외,수원시 영통구 영통동,실외,친밀한 관계|철환,/,/,/,아니오,긍정,높음,높음,높음
2018-09-04 14:00,2018-09-04 14:30,식사,카페,수원시 영통구 영통동,실내,친밀한 관계|철환,기타|아이스크림,적음,간식,예,보통,높음,높음,높음
2018-09-04 14:30,2018-09-04 14:40,이동,야외|자동차,수원시 영통구 영통동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-04 14:40,2018-09-04 14:45,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-04 14:45,2018-09-04 16:15,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-04 16:15,2018-09-04 16:45,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,아니오,보통,높음,높음,높음
