start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-09 0:00,2018-09-09 0:05,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 낮음,보통,보통
2018-09-09 0:05,2018-09-09 0:10,식사,집,수원시 영통구 망포동,실내,혼자,기타|견과류,적음,간식,예,긍정,매우 낮음,보통,보통
2018-09-09 0:10,2018-09-09 1:30,공부|인터넷강의,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 낮음,보통,보통
2018-09-09 1:30,2018-09-09 1:35,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 낮음,보통,보통
2018-09-09 1:35,2018-09-09 2:00,공부|인터넷강의,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,부정,매우 낮음,보통,보통
2018-09-09 2:00,2018-09-09 2:30,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-09 2:30,2018-09-09 3:00,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|라면,많음,야식,예,긍정,낮음,보통,보통
2018-09-09 3:00,2018-09-09 3:50,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-09-09 3:50,2018-09-09 12:20,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-09 12:20,2018-09-09 12:40,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-09 12:40,2018-09-09 13:05,식사,집,수원시 영통구 망포동,실내,혼자,한식|볶음밥,많음,점심,예,보통,높음,보통,보통
2018-09-09 13:05,2018-09-09 13:30,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-09 13:30,2018-09-09 15:25,야외활동|사회인야구단 참여,기타|사회인 야구장,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,아니오,긍정,높음,높음,보통
2018-09-09 15:25,2018-09-09 15:30,능동적 여가|SNS,기타|사회인 야구장,수원시 권선구 고색동,실외,혼자,/,/,/,아니오,긍정,높음,높음,낮음
2018-09-09 15:30,2018-09-09 16:30,야외활동|사회인야구단 참여,기타|사회인 야구장,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,아니오,긍정,높음,높음,낮음
2018-09-09 16:30,2018-09-09 16:35,이동,기타|사회인 야구장,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,예,보통,높음,높음,보통
2018-09-09 16:35,2018-09-09 16:50,기타|세면,기타|실내체육관,수원시 권선구 고색동,실내,친밀한 관계|사회인야구동료,/,/,/,예,보통,높음,높음,보통
2018-09-09 16:50,2018-09-09 17:10,이동,야외|자동차,수원시 권선구 고색동,실외,친밀한 관계|사회인야구동료,/,/,/,예,보통,높음,높음,보통
2018-09-09 17:10,2018-09-09 18:30,식사,식당,수원시 권선구 권선동,실내,친밀한 관계|사회인야구동료,한식|우삼겹,매우 많음,저녁,예,긍정,높음,보통,보통
2018-09-09 18:30,2018-09-09 18:30,이동,야외|자동차,수원시 권선구 권선동,실외,친밀한 관계|사회인야구동료,/,/,/,아니오,매우 긍정,높음,보통,보통
2018-09-09 18:30,2018-09-09 19:50,사교,기타|노래방,수원시 권선구 권선동,실내,친밀한 관계|사회인야구동료,/,/,/,아니오,긍정,높음,보통,보통
2018-09-09 19:50,2018-09-09 20:05,이동,야외|자동차,수원시 권선구 권선동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-09 20:05,2018-09-09 20:05,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-09 20:05,2018-09-09 20:55,수동적 여가|독서,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-09 20:55,2018-09-09 21:00,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-09 21:00,2018-09-09 22:00,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,예,긍정,낮음,보통,보통
2018-09-09 22:00,2018-09-09 22:10,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|슈크림빵,많음,간식,예,매우 긍정,낮음,보통,보통
2018-09-09 22:10,2018-09-09 22:30,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-09 22:30,2018-09-09 22:35,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-09 22:35,2018-09-09 23:59,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
