start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-13 0:00,2018-09-13 0:20,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-13 0:20,2018-09-13 1:10,수동적 여가|독서,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-13 1:10,2018-09-13 1:20,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-13 1:20,2018-09-13 2:30,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-13 2:30,2018-09-13 2:50,식사,집,수원시 영통구 망포동,실내,혼자,기타|라면,많음,야식,예,긍정,낮음,보통,보통
2018-09-13 2:50,2018-09-13 3:15,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,높음
2018-09-13 3:15,2018-09-13 10:45,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,높음
2018-09-13 10:45,2018-09-13 10:55,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,높음
2018-09-13 10:55,2018-09-13 11:10,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,높음
2018-09-13 11:10,2018-09-13 11:40,이동,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,높음
2018-09-13 11:40,2018-09-13 12:55,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,높음
2018-09-13 12:55,2018-09-13 13:00,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,높음
2018-09-13 13:00,2018-09-13 13:05,이동,야외|자동차,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,예,보통,높음,보통,높음
2018-09-13 13:05,2018-09-13 13:25,식사,식당,수원시 영통구 망포동,실내,친밀한 관계|철환,기타|브리또,매우 많음,점심,예,보통,높음,보통,높음
2018-09-13 13:25,2018-09-13 14:30,이동,야외|자동차,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,보통,높음
2018-09-13 14:30,2018-09-13 16:30,업무,기타|전시회,고양시 일산구 대화동,실내,친밀한 관계|철환,/,/,/,아니오,부정,높음,보통,높음
2018-09-13 16:30,2018-09-13 16:35,이동,야외,고양시 일산구 대화동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,높음,높음
2018-09-13 16:35,2018-09-13 16:55,식사,카페,고양시 일산구 대화동,실내,친밀한 관계|철환,기타|커피,매우 적음,간식,예,보통,높음,높음,높음
2018-09-13 16:55,2018-09-13 17:00,이동,야외,고양시 일산구 대화동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,높음,높음
2018-09-13 17:00,2018-09-13 18:30,업무,기타|전시회,고양시 일산구 대화동,실내,친밀한 관계|철환,/,/,/,예,부정,높음,보통,높음
2018-09-13 18:30,2018-09-13 19:00,이동,야외|자동차,고양시 일산구 대화동,실외,혼자,/,/,/,예,긍정,높음,보통,높음
2018-09-13 19:00,2018-09-13 20:15,식사,식당,서울시 강남구 강남동,실내,친밀한 관계|연제,한식|삼겹살,매우 많음,저녁,예,매우 긍정,높음,보통,보통
2018-09-13 20:15,2018-09-13 20:25,이동,야외,서울시 강남구 강남동,실외,친밀한 관계|연제,/,/,/,아니오,보통,낮음,보통,보통
2018-09-13 20:25,2018-09-13 21:40,사교,기타|스크린야구장,서울시 강남구 강남동,실내,친밀한 관계|연제,/,/,/,예,긍정,낮음,보통,보통
2018-09-13 21:40,2018-09-13 21:45,이동,야외,서울시 강남구 강남동,실외,친밀한 관계|연제,/,/,/,예,긍정,낮음,낮음,보통
2018-09-13 21:45,2018-09-13 21:30,식사,식당,서울시 강남구 강남동,실내,친밀한 관계|연제,한식|복어국,많음,야식,예,매우 긍정,낮음,낮음,보통
2018-09-13 21:30,2018-09-13 21:40,이동,야외,서울시 강남구 강남동,실외,친밀한 관계|연제,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-13 21:40,2018-09-13 22:50,사교,기타|노래방,서울시 강남구 강남동,실내,친밀한 관계|연제,/,/,/,아니오,긍정,낮음,낮음,보통
2018-09-13 22:50,2018-09-13 23:00,이동,야외|자동차,서울시 강남구 강남동,실외,친밀한 관계|연제,/,/,/,예,보통,낮음,낮음,보통
2018-09-13 23:00,2018-09-13 23:59,식사,식당,서울시 강남구 강남동,실내,친밀한 관계|연제,한식|파전,매우 많음,야식,예,매우 긍정,낮음,낮음,보통
