start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-07-21 0:00,2018-07-21 0:30,이동,대중교통,용인시 처인구 포곡읍,실외,친밀한 관계|지은,/,/,/,예,긍정,보통,높음,높음
2018-07-21 0:30,2018-07-21 0:40,이동,야외,부천시 범박동,실외,혼자,/,/,/,예,긍정,매우 높음,높음,높음
2018-07-21 0:40,2018-07-21 1:00,기타|샤워,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 높음,보통,보통
2018-07-21 1:00,2018-07-21 1:40,사교|SNS,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 높음,보통,보통
2018-07-21 1:40,2018-07-21 1:50,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 높음,보통,보통
2018-07-21 1:50,2018-07-21 2:30,기타|명상,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 높음,보통,보통
2018-07-21 2:30,2018-07-21 3:30,수동적 여가|웹서핑,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-07-21 3:30,2018-07-21 7:10,수면,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-07-21 7:10,2018-07-21 7:50,기타|멍때리기,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-21 7:50,2018-07-21 8:50,사교|SNS,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-07-21 8:50,2018-07-21 9:20,수동적 여가|TV시청,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-07-21 9:20,2018-07-21 9:50,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-07-21 9:50,2018-07-21 10:20,기타|외출 준비,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-21 10:20,2018-07-21 10:30,이동,야외,부천시 소사본동,실외,혼자,/,/,/,예,보통,보통,높음,높음
2018-07-21 10:30,2018-07-21 11:30,사교|수다,카페,부천시 심곡동,실내,"친밀한 관계|지윤, 우혁, 영진",/,/,/,예,긍정,보통,보통,보통
2018-07-21 11:30,2018-07-21 11:40,이동,야외,부천시 심곡동,실외,혼자,/,/,/,예,긍정,보통,매우 높음,매우 높음
2018-07-21 11:40,2018-07-21 14:40,사교|게임,기타|PC방,부천시 소사본동,실내,"친밀한 관계|영훈, 민재, 영진",/,/,/,예,긍정,보통,보통,보통
2018-07-21 14:40,2018-07-21 14:50,이동,야외,부천시 소사본동,실외,혼자,/,/,/,예,긍정,보통,매우 높음,매우 높음
2018-07-21 14:50,2018-07-21 16:50,사교|축구,학교|운동장,부천시 소사본동,실외,"친밀한 관계|상휘, 주영, 준연, 동재, 승우, 석민, 성호, 재훈, 민규",/,/,/,예,긍정,보통,높음,높음
2018-07-21 16:50,2018-07-21 17:00,이동,야외,부천시 소사본동,실외,혼자,/,/,/,예,긍정,높음,높음,높음
2018-07-21 17:00,2018-07-21 17:20,식사,집,부천시 소사본동,실내,혼자,한식|김치찌개,매우 적음,저녁,예,긍정,높음,보통,보통
2018-07-21 17:20,2018-07-21 17:40,기타|휴식,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-07-21 17:40,2018-07-21 19:00,능동적 여가|운동,기타|헬스장,부천시 소사본동,실내,혼자,/,/,/,예,긍정,보통,보통,보통
2018-07-21 19:00,2018-07-21 19:20,기타|샤워,기타|헬스장,부천시 소사본동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-07-21 19:20,2018-07-21 21:00,기타|SNS,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-07-21 21:00,2018-07-21 21:20,야외활동|산책,야외,부천시 소사본동,실외,혼자,/,/,/,예,보통,높음,높음,높음
2018-07-21 21:20,2018-07-21 22:10,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-07-21 22:10,2018-07-21 22:40,능동적 여가|웹서핑,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-07-21 22:40,2018-07-21 23:30,능동적 여가|인터넷 쇼핑,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-07-21 23:30,2018-07-21 23:40,수동적 여가|유튜브 시청,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-21 23:40,2018-07-21 23:59,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
