start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-06 0:00,2018-09-06 0:15,사교,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,아니오,보통,높음,보통,보통
2018-09-06 0:15,2018-09-06 1:20,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,아니오,긍정,높음,보통,보통
2018-09-06 1:20,2018-09-06 1:25,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-06 1:25,2018-09-06 2:40,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-06 2:40,2018-09-06 3:00,식사,집,수원시 영통구 망포동,실내,혼자,기타|라면,많음,야식,예,긍정,높음,보통,보통
2018-09-06 3:00,2018-09-06 3:20,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-06 3:20,2018-09-06 11:10,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-06 11:10,2018-09-06 11:35,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-06 11:35,2018-09-06 11:45,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-06 11:45,2018-09-06 12:05,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-06 12:05,2018-09-06 12:45,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,아니오,보통,높음,보통,보통
2018-09-06 12:45,2018-09-06 13:00,이동,야외,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,높음,보통
2018-09-06 13:00,2018-09-06 13:35,식사,식당,수원시 영통구 망포동,실내,친밀한 관계|철환,한식|육개장,많음,점심,예,긍정,높음,높음,보통
2018-09-06 13:35,2018-09-06 13:40,이동,야외,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,아니오,긍정,높음,높음,높음
2018-09-06 13:40,2018-09-06 14:00,식사,카페,수원시 영통구 망포동,실내,친밀한 관계|철환,기타|커피,적음,간식,예,보통,높음,높음,높음
2018-09-06 14:00,2018-09-06 14:15,이동,야외,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-06 14:15,2018-09-06 14:20,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-06 14:20,2018-09-06 15:45,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-06 15:45,2018-09-06 16:45,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,예,보통,높음,높음,높음
2018-09-06 16:45,2018-09-06 17:00,식사,사무실,수원시 영통구 망포동,실내,혼자,기타|과자,적음,간식,예,보통,높음,높음,높음
2018-09-06 17:00,2018-09-06 17:05,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통
2018-09-06 17:05,2018-09-06 19:15,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,높음,보통
2018-09-06 19:15,2018-09-06 19:20,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음
2018-09-06 19:20,2018-09-06 19:40,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,높음,높음
2018-09-06 19:40,2018-09-06 19:50,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,예,매우 부정,낮음,높음,높음
2018-09-06 19:50,2018-09-06 20:30,식사,식당,수원시 영통구 망포동,실내,혼자,한식|돼지갈비찜,매우 많음,저녁,예,긍정,낮음,높음,높음
2018-09-06 20:30,2018-09-06 20:40,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,낮음,높음,보통
2018-09-06 20:40,2018-09-06 21:50,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,예,보통,낮음,높음,보통
2018-09-06 21:50,2018-09-06 22:15,식사,사무실,수원시 영통구 망포동,실내,혼자,기타|떡볶이,많음,야식,예,매우 긍정,낮음,보통,보통
2018-09-06 22:15,2018-09-06 22:20,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-06 22:20,2018-09-06 22:35,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-09-06 22:35,2018-09-06 22:50,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-09-06 22:50,2018-09-06 22:55,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,부정,낮음,보통,보통
2018-09-06 22:55,2018-09-06 23:05,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|과일,많음,간식,예,긍정,낮음,보통,보통
2018-09-06 23:05,2018-09-06 23:59,수동적 여가|TV시청,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
