start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-03 0:00,2018-09-03 1:00,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,매우 긍정,낮음,낮음,보통
2018-09-03 1:00,2018-09-03 1:05,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,긍정,낮음,낮음,보통
2018-09-03 1:05,2018-09-03 1:35,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,긍정,낮음,낮음,보통
2018-09-03 1:35,2018-09-03 2:10,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|치킨,많음,야식,예,매우 긍정,낮음,낮음,보통
2018-09-03 2:10,2018-09-03 2:40,사교,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-03 2:40,2018-09-03 3:15,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-03 3:15,2018-09-03 8:50,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-03 8:50,2018-09-03 9:00,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-09-03 9:00,2018-09-03 9:20,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,매우 높음,낮음,높음
2018-09-03 9:20,2018-09-03 10:00,식사,집,수원시 영통구 망포동,실내,혼자,한식|김치찌개,적음,아침,예,긍정,매우 높음,낮음,높음
2018-09-03 10:00,2018-09-03 10:20,청소,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,높음
2018-09-03 10:20,2018-09-03 10:25,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-03 10:25,2018-09-03 10:40,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-03 10:40,2018-09-03 11:55,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-03 11:55,2018-09-03 12:00,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,높음
2018-09-03 12:00,2018-09-03 12:40,이동,야외|자동차,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,보통,높음
2018-09-03 12:40,2018-09-03 13:20,업무,상점,서울시 용산구 신계동,실내,친밀한 관계|철환,/,/,/,아니오,부정,높음,보통,높음
2018-09-03 13:20,2018-09-03 13:30,이동,야외,서울시 용산구 신계동,실외,친밀한 관계|철환,/,/,/,예,부정,높음,보통,높음
2018-09-03 13:30,2018-09-03 14:35,식사,식당,서울시 용산구 신계동,실내,친밀한 관계|철환,양식|스파게티,매우 많음,점심,예,부정,높음,높음,높음
2018-09-03 14:35,2018-09-03 14:45,이동,야외,서울시 용산구 신계동,실외,친밀한 관계|철환,/,/,/,아니오,부정,높음,높음,보통
2018-09-03 14:45,2018-09-03 15:05,식사,카페,서울시 용산구 신계동,실내,친밀한 관계|철환,기타|커피,매우 적음,간식,아니오,부정,높음,높음,보통
2018-09-03 15:05,2018-09-03 15:15,이동,야외,서울시 용산구 신계동,실외,친밀한 관계|철환,/,/,/,아니오,부정,높음,높음,보통
2018-09-03 15:15,2018-09-03 16:50,업무,상점,서울시 용산구 신계동,실내,친밀한 관계|철환,/,/,/,아니오,부정,높음,보통,높음
2018-09-03 16:50,2018-09-03 16:55,능동적 여가|SNS,상점,서울시 용산구 신계동,실내,혼자,/,/,/,아니오,부정,높음,보통,높음
2018-09-03 16:55,2018-09-03 17:35,이동,야외|자동차,서울시 용산구 신계동,실외,친밀한 관계|철환,/,/,/,아니오,긍정,높음,보통,높음
2018-09-03 17:35,2018-09-03 18:50,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,높음
2018-09-03 18:50,2018-09-03 19:00,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,높음
2018-09-03 19:00,2018-09-03 19:10,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,높음
2018-09-03 19:10,2018-09-03 19:40,이동,대중교통|버스,수원시 영통구 망포동,실외,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-03 19:40,2018-09-03 20:40,식사,식당,수원시 팔달구 인계동,실내,친밀한 관계|수영,한식|삼겹살,매우 많음,저녁,예,긍정,낮음,보통,보통
2018-09-03 20:40,2018-09-03 20:50,이동,야외,수원시 팔달구 인계동,실외,친밀한 관계|수영,/,/,/,아니오,보통,낮음,보통,보통
2018-09-03 20:50,2018-09-03 21:35,사교,기타|노래방,수원시 팔달구 인계동,실내,친밀한 관계|수영,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-03 21:35,2018-09-03 21:40,이동,야외,수원시 팔달구 인계동,실외,친밀한 관계|수영,/,/,/,예,긍정,낮음,보통,보통
2018-09-03 21:25,2018-09-03 22:00,식사,식당,수원시 팔달구 인계동,실내,친밀한 관계|수영,양식|피쉬앤칩스,많음,야식,예,긍정,낮음,보통,보통
2018-09-03 22:00,2018-09-03 22:05,이동,야외,수원시 팔달구 인계동,실외,친밀한 관계|수영,/,/,/,아니오,보통,낮음,보통,보통
2018-09-03 22:05,2018-09-03 22:45,식사,카페,수원시 팔달구 인계동,실내,친밀한 관계|수영,기타|커피,매우 적음,간식,예,긍정,낮음,보통,보통
2018-09-03 22:45,2018-09-03 23:15,이동,대중교통|버스,수원시 팔달구 인계동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-03 23:15,2018-09-03 23:30,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-03 23:30,2018-09-03 23:40,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-03 23:40,2018-09-03 12:59,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
