start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-15 0:00,2018-09-15 1:00,공부|인터넷강의,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-15 1:00,2018-09-15 1:05,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-15 1:05,2018-09-15 1:30,공부|인터넷강의,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-15 1:30,2018-09-15 1:45,식사,집,수원시 영통구 망포동,실내,혼자,기타|과자,적음,간식,예,긍정,낮음,보통,보통
2018-09-15 1:45,2018-09-15 2:50,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-15 2:50,2018-09-15 2:55,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-15 2:55,2018-09-15 3:20,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-15 3:20,2018-09-15 10:35,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-15 10:35,2018-09-15 10:50,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-15 10:50,2018-09-15 11:15,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-15 11:15,2018-09-15 11:30,청소,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-15 11:30,2018-09-15 11:40,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-15 11:40,2018-09-15 12:15,식사,식당,수원시 영통구 망포동,실내,혼자,양식|스파게티,매우 많음,점심,예,보통,매우 높음,보통,보통
2018-09-15 12:15,2018-09-15 12:20,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-15 12:20,2018-09-15 12:40,기타|구매,상점,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,매우 부정,높음,높음,보통
2018-09-15 12:40,2018-09-15 12:50,이동,야외|자동차,수원시 영통구 망포동,실외,친밀한 관계|연제,/,/,/,아니오,보통,높음,높음,높음
2018-09-15 12:50,2018-09-15 13:15,식사,카페,수원시 영통구 망포동,실내,친밀한 관계|연제,기타|커피,많음,간식,예,보통,높음,매우 높음,높음
2018-09-15 13:15,2018-09-15 13:25,능동적 여가|SNS,카페,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,높음,매우 높음,높음
2018-09-15 13:25,2018-09-15 13:35,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,높음,매우 높음,높음
2018-09-15 13:35,2018-09-15 15:50,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음
2018-09-15 15:50,2018-09-15 16:00,식사,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,기타|아이스크림,많음,간식,예,긍정,높음,높음,높음
2018-09-15 16:00,2018-09-15 18:05,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,아니오,보통,높음,높음,보통
2018-09-15 18:05,2018-09-15 18:15,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-15 18:15,2018-09-15 19:30,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-15 19:30,2018-09-15 20:00,식사,사무실,수원시 영통구 망포동,실내,혼자,기타|족발,매우 많음,저녁,예,매우 긍정,낮음,보통,보통
2018-09-15 20:00,2018-09-15 20:05,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-15 20:05,2018-09-15 21:45,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-15 21:45,2018-09-15 21:55,식사,사무실,수원시 영통구 망포동,실내,혼자,기타|머핀,적음,간식,예,매우 긍정,낮음,보통,보통
2018-09-15 21:55,2018-09-15 22:05,청소,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-15 22:05,2018-09-15 22:20,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,낮음,낮음,보통
2018-09-15 22:20,2018-09-15 22:45,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,낮음,보통
2018-09-15 22:45,2018-09-15 22:50,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,낮음,낮음,보통
2018-09-15 22:50,2018-09-15 23:45,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-15 23:45,2018-09-15 23:59,사교,집,수원시 영통구 망포동,실내,친밀한 관계|지수,/,/,/,아니오,보통,낮음,낮음,보통
