start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-10 0:00,2018-09-10 1:00,능동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,매우 긍정,낮음,낮음,보통
2018-09-10 1:00,2018-09-10 1:05,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,보통
2018-09-10 1:05,2018-09-10 1:35,수동적 여가|TV시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,긍정,낮음,낮음,보통
2018-09-10 1:35,2018-09-10 2:10,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|치킨,많음,야식,예,매우 긍정,낮음,낮음,보통
2018-09-10 2:10,2018-09-10 2:40,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-10 2:40,2018-09-10 10:15,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-10 10:15,2018-09-10 10:20,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,보통,보통
2018-09-10 10:20,2018-09-10 10:35,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,매우 부정,매우 높음,낮음,높음
2018-09-10 10:35,2018-09-10 10:50,식사,집,수원시 영통구 망포동,실내,혼자,한식|백반,적음,아침,예,부정,매우 높음,낮음,높음
2018-09-10 10:50,2018-09-10 11:20,청소,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,높음
2018-09-10 11:20,2018-09-10 11:25,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-10 11:25,2018-09-10 11:40,이동,야외,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-10 11:40,2018-09-10 12:15,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,아니오,보통,높음,보통,보통
2018-09-10 12:15,2018-09-10 12:25,이동,야외,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,예,보통,높음,높음,보통
2018-09-10 12:25,2018-09-10 12:50,식사,식당,수원시 영통구 망포동,실내,친밀한 관계|철환,한식|비빔밥,적음,점심,예,긍정,높음,높음,보통
2018-09-10 12:50,2018-09-10 12:55,이동,야외,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,아니오,긍정,높음,높음,높음
2018-09-10 12:55,2018-09-10 13:25,식사,카페,수원시 영통구 망포동,실내,친밀한 관계|철환,기타|커피,적음,간식,아니오,보통,높음,높음,높음
2018-09-10 13:25,2018-09-10 13:35,이동,야외,수원시 영통구 망포동,실외,친밀한 관계|철환,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-10 13:35,2018-09-10 15:05,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,매우 높음,높음
2018-09-10 15:05,2018-09-10 15:20,식사,사무실,수원시 영통구 망포동,실내,혼자,기타|과자,많음,간식,아니오,긍정,높음,높음,보통
2018-09-10 15:20,2018-09-10 16:55,업무,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-09-10 16:55,2018-09-10 17:00,능동적 여가|SNS,사무실,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,긍정,높음,높음,높음
2018-09-10 17:00,2018-09-10 18:45,업무,사무실,수원시 영통구 망포동,실내,친밀한 관계|철환,/,/,/,예,보통,높음,높음,높음
2018-09-10 18:45,2018-09-10 19:00,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,예,매우 부정,높음,높음,높음
2018-09-10 19:00,2018-09-10 19:40,식사,식당,수원시 영통구 망포동,실내,혼자,한식|육회,매우 많음,저녁,예,긍정,높음,높음,높음
2018-09-10 19:40,2018-09-10 19:55,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-09-10 19:55,2018-09-10 21:20,능동적 여가|헬스,기타|헬스장,수원시 영통구 망포동,실내,데면한 관계|문수,/,/,/,아니오,부정,높음,보통,보통
2018-09-10 21:20,2018-09-10 21:40,기타|세면,기타|헬스장,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-10 21:40,2018-09-10 21:50,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,예,매우 부정,높음,보통,보통
2018-09-10 21:50,2018-09-10 21:55,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-10 21:55,2018-09-10 22:40,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-10 22:40,2018-09-10 23:15,식사,집,수원시 영통구 망포동,실내,친밀한 관계|지수,기타|치킨,적음,간식,예,긍정,높음,보통,보통
2018-09-10 23:15,2018-09-10 23:59,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
