start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-07-25 0:00,2018-07-25 0:30,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,높음,높음,보통
2018-07-25 0:30,2018-07-25 0:40,이동,야외,부천시 소사본동,실외,혼자,/,/,/,예,보통,높음,높음,보통
2018-07-25 0:40,2018-07-25 2:10,사교|노가리,야외,부천시 심곡동,실외,"친밀한 관계|완진, 준상, 승우, 동재",/,/,/,예,긍정,높음,높음,보통
2018-07-25 2:10,2018-07-25 2:20,이동,야외,부천시 심곡동,실외,혼자,/,/,/,예,보통,매우 높음,높음,보통
2018-07-25 2:20,2018-07-25 2:40,기타|휴식,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-07-25 2:40,2018-07-25 3:20,기타|유튜브 시청,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-07-25 3:20,2018-07-25 3:40,기타|멍때리기,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-07-25 3:40,2018-07-25 4:00,사교|SNS,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-07-25 4:00,2018-07-25 4:10,기타|멍때리기,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-07-25 4:10,2018-07-25 8:20,수면,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-07-25 8:20,2018-07-25 8:50,야외활동|산책,야외,부천시 소사본동,실외,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-25 8:50,2018-07-25 9:00,기타|외출 준비,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-25 9:00,2018-07-25 9:10,이동,대중교통,부천시 소사본동,실외,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-25 9:10,2018-07-25 10:10,사교|게임,기타|PC방,부천시 심곡동,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,예,긍정,보통,보통,보통
2018-07-25 10:10,2018-07-25 10:20,이동,야외,부천시 심곡동,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,예,긍정,보통,높음,보통
2018-07-25 10:20,2018-07-25 11:00,기타|장보기,기타|대형마트,부천시 심곡동,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,예,긍정,보통,보통,보통
2018-07-25 11:00,2018-07-25 11:20,식사,식당|푸드코트,부천시 심곡동,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",한식|냉면,적음,점심,예,긍정,보통,보통,보통
2018-07-25 11:20,2018-07-25 14:10,이동,대중교통,부천시 심곡동,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,예,긍정,보통,보통,보통
