start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-05 0:00,2018-09-05 1:10,공부|인터넷강의,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-05 1:10,2018-09-05 1:15,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-05 1:15,2018-09-05 1:25,식사,집,수원시 영통구 망포동,실내,혼자,기타|견과류,많음,간식,예,긍정,낮음,보통,보통
2018-09-05 1:25,2018-09-05 1:45,공부|인터넷강의,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-05 1:45,2018-09-05 2:35,능동적 여가|컴퓨터 게임,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-05 2:35,2018-09-05 2:40,능동적 여가|SNS,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-05 2:40,2018-09-05 3:05,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-05 3:05,2018-09-05 10:05,수면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-05 10:05,2018-09-05 10:20,수동적 여가|유투브시청,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-05 10:20,2018-09-05 10:40,기타|세면,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-05 10:40,2018-09-05 11:05,청소,집,수원시 영통구 망포동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-05 11:05,2018-09-05 11:30,이동,야외|자동차,수원시 영통구 망포동,실외,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-05 11:30,2018-09-05 12:25,식사,식당,수원시 영통구 원천동,실내,친밀한 관계|연제,한식|해물뚝배기,적음,점심,예,긍정,매우 높음,보통,보통
